,value_eur,overall,potential,age,shooting,passing,dribbling,defending,physic,num_pos,international_reputation,best_pos
0,95500000,94,94,32,92,92,96,39,66,3,5,RW
1,58500000,93,93,34,93,82,89,35,78,2,5,ST
2,105500000,92,92,27,85,87,95,32,58,2,5,LW
3,90000000,91,91,28,83,86,94,35,66,2,4,LW
4,90000000,91,91,28,86,92,86,61,78,2,4,CAM
5,78000000,90,91,27,60,70,71,90,86,1,3,CB
6,45000000,90,90,33,76,89,89,72,66,1,4,CM
7,80500000,90,90,27,86,81,89,45,74,2,3,RW
8,93500000,89,95,20,84,78,90,39,75,2,3,ST
9,67500000,89,91,28,28,54,67,89,87,1,3,CB
10,83000000,89,91,25,91,79,81,47,83,1,3,ST
11,66000000,89,90,28,65,77,81,87,83,2,3,CDM
12,24500000,89,89,34,46,58,60,90,82,1,4,CB
13,60000000,89,89,31,90,77,88,33,74,1,4,ST
14,31500000,89,89,33,68,75,73,87,85,1,4,CB
15,53000000,89,89,32,89,80,84,51,84,1,5,ST
16,64500000,89,89,30,87,74,85,41,82,1,4,ST
17,55000000,89,89,30,62,80,80,85,80,2,4,CDM
18,69000000,89,89,28,86,84,89,57,72,3,4,CF
19,76500000,88,92,25,82,84,90,43,64,2,3,CAM
20,72500000,88,91,26,81,86,85,66,86,2,4,CM
21,73000000,88,90,24,79,78,89,45,57,2,3,RW
22,68000000,88,89,27,81,90,84,53,63,2,3,CAM
23,38000000,88,88,32,61,72,68,88,80,1,4,CB
24,36000000,88,88,33,74,88,89,52,57,2,4,CAM
25,47000000,88,88,32,86,72,79,55,83,1,4,ST
26,28000000,88,88,33,48,64,61,89,83,1,3,CB
27,57000000,88,88,29,80,90,81,70,69,1,4,CM
28,56000000,88,88,30,88,84,87,45,66,3,4,CAM
29,57000000,88,88,30,85,75,80,37,69,2,3,ST
30,62000000,88,88,27,83,77,89,44,74,2,3,LW
31,56500000,87,90,25,50,71,68,88,82,2,2,CB
32,64000000,87,90,24,76,83,92,51,67,3,2,RW
33,53500000,87,89,27,72,75,72,85,89,1,3,CDM
34,60000000,87,88,26,86,80,87,42,68,2,3,CF
35,19500000,87,87,34,74,79,78,84,79,1,3,CDM
36,18500000,87,87,34,54,72,72,87,78,1,4,CB
